hash,pluginkey,shortname,longname
AO_6B9F04,com.kaanha.reports,aioreports,AIO Reports and Timesheets for Jira
AO_D9F874,com.kaanha.timesheets,kaanahtimesheets,All-In-One Timesheets for Jira
AO_4D28DD,com.kanoah.test-manager,testmanagement,Test Management for JIRA
AO_1114A6,com.keplerrominfo.jira.plugins.blitz-actions,kepler,Power Actions for JIRA
AO_1B54DA,com.keplerrominfo.jira.plugins.commons,sil,SIL Engine
AO_3F6C61,com.keplerrominfo.jira.plugins.jjupin,kepler,Power Scripts for JIRA
AO_CE20B8,com.keplerrominfo.jira.plugins.keplercf,kepler,Power Custom Fields Premium
AO_5A70E4,com.keplerrominfo.jira.plugins.rightsdna,rightsdna,Rights DNA
AO_8BF6AE,com.kintosoft.jira.birt_viewer,birt,Eclipse BIRT for Jira
AO_D98188,com.kintosoft.jira.jdbc.cf.sql-custom-fields,sqlcf,SQL+JQL Custom Fields
AO_2B6364,com.kintosoft.jira.subversion-plus,svn,Subversion ALM
AO_04376E,com.kintosot.jira.jdbc4jql,jdbc4jql,SQL+JQL Driver
AO_4B0B86,com.kostebekteknoloji.plugins.jira.jira-comment-toolbox,commenttoolbox,Jira Comment Toolbox
AO_941C01,com.kostebekteknoloji.plugins.jira.jira-service-desk-toolbox,jsdtoolbox,Toolbox for Jira Service Desk
AO_D1BE42,com.kostebekteknoloji.plugins.jira.jira-traceability-matrix,traceability,Traceability Matrix and Link Graph
AO_3FB43F,com.marvelution.jira.plugins.jenkins,jenkins,Jenkins Integration for Jira Server
AO_47EAC7,com.metainf.jira.plugin.bug-watcher,bugwatcher,Bug Watcher Notifications
AO_544E33,com.metainf.jira.plugin.emailissue,jeti,Email This Issue
AO_09E361,com.midori.jira.plugin.betterexcel,betterexcel,Better Excel Exporter for Jira
AO_764F4D,com.midori.jira.plugin.jira-commit-policy-plugin,bettercommit,Better Commit Policy for Jira
AO_A83C21,com.midori.jira.plugin.pdfview,betterpdf,Better PDF Exporter for Jira
AO_FF4886,com.mobilitystream.jira.google4jiracloud,gsheets,Google Sheets Integration
AO_CE4B6D,com.mohamicorp.plugin.autowatch.autowatch-for-jira,autowatch,Autowatch for JIRA
AO_7C2DE0,com.moqups.atlassian.moqups-jira,moqups,Moqups for Jira Server
AO_52302C,com.moresimp.aomodule,moresimp,Moresimp ActiveObjects Module
AO_3198A9,com.moresimp.impex,impex,ImpEx
AO_DB39E1,com.moresimp.jexcel,jexcel,JExcel LITE
AO_14A4BF,com.moresimp.jexcel.pro,jexcel,JExcel PRO
AO_CBC281,com.mxgraph.jira.plugins.drawio,drawio,Draw.io JIRA plugin
AO_02C593,com.nebulio.addons.jira.notifications.server.Notifications,notifications,Notifications for JIRA
AO_092BCA,com.obss.plugin.fieldSync,fieldsync,Field Sync
AO_956E29,com.obss.plugin.time-in-status,timeinstatus,Time In Status
AO_C63094,com.obss.plugin.user-property-manager,userpropmanager,User Property Manager
AO_4B00E6,com.onresolve.jira.groovy.groovyrunner,groovy,Adaptavist ScriptRunner for JIRA
AO_CC6AEB,com.osoboo.jira-metadata-plugin,metadata,Metadata for Jira
AO_A36E36,com.ovyka.jira.satisfaction,satisfaction,Ovyka Satisfaction for JIRA
AO_E7B8CC,com.pawelniewiadomski.jira.jira-openid-authentication-plugin,openid,OpenID Authentication for JIRA
AO_42D05A,com.playsql.requirementyogijira,reqyogi,Requirement Yogi - Jira Integration
AO_ED9438,com.plugenta.jiraauditor,auditor,Auditor for Jira
AO_2EE522,com.practitest.jira.plugins.practitest-jira-lite,practitest,PractiTest for JIRA - Test Management
